Option,Hazards,Assets,Action Type,Sub-Action Type,Source Plan,URL,Toolkit Case Study
Address the resilience of the regional flood control system. Coordinate with the Water Management District and local public officials to request a comprehensive assessment by the U.S. Army Corps of Engineers.,Flooding – General,Water Infrastructure – Stormwater,Partnerships & Collaboration,Partnerships,Southeast Florida Compact Regional Climate Action Plan - Energy and Fuel,http://www.southeastfloridaclimatecompact.org/recommendation-category/ef/,https://toolkit.climate.gov/case-studies/southeast-florida-compact-regional-climate-action-plan-energy-and-fuel-0
"Adopt building codes that restrict inappropriate redevelopment in areas damaged by inundation, erosion and flooding to prevent future losses.",Erosion and Shoreline Recession,Property,"""Policy, Codes, & Standards""",Building Codes,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
"Adopt design standards that reduce heat absorption by building roofs and sides. For example, incentivize white or green roofs.",Extreme Heat,Property,"""Policy, Codes, & Standards""",Standards,Miami Forever Climate Ready Strategy,https://www.miami.gov/My-Government/ClimateChange/Climate-Change-Action/MiamiForeverClimateReady,https://toolkit.climate.gov/case-studies/miami-forever-climate-ready-strategy-0
Adopt emergency land-use provisions to address displacement and redevelopment in advance of a major or catastrophic event.,Multiple or All Hazards,People,"""Land Use, Land Conservation, & Zoning""",Land Use Practice,"Los Angeles, CA Resilience Strategy",https://resilientcitiesnetwork.org/downloadable_resources/Network/Los-Angeles-Resilience-Strategy-English.pdf,https://toolkit.climate.gov/case-studies/los-angeles-ca-resilience-strategy-0
"Adopt low-impact development (LID) standards, add incentives and remove regulatory barriers (e.g., in the zoning ordinance) to encourage green infrastructure, especially in low lying areas. Green infrastructure and LID can lessen stress on natural and built stormwater systems by promoting on-site water retention and infiltration. These strategies also slow stormwater runoff rates. LID strategies are site-level solutions that control stormwater and strive to replicate the pre-development hydrology of the site.","Water Quality,Flooding – General,Flooding – Rainfall-induced","Urban Landscape and Tree Canopy,Natural Areas and Wildlife,Property,Water Infrastructure – Stormwater","""Land Use, Land Conservation, & Zoning""",Low Impact Development (LID),"Washington Coast Resilience Action Demonstration Project, Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",,
"Adopt or update sediment and erosion-control regulations or practices. Ensure guidelines accommodate changes that may occur due to the anticipated increased, heavier precipitation events. ",Erosion and Shoreline Recession,Multiple or All Assets,"""Policy, Codes, & Standards""",Building Codes,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
"Adopt planning and land-use policies that support clean air, clean drinking water and pollution-free waterways.","Air Quality,Water Quality","Water Infrastructure – Wastewater,People","""Policy, Codes, & Standards""",Policies,Resilient Houston,https://www.houstontx.gov/mayor/Resilient-Houston-20200402-single-page.pdf,https://toolkit.climate.gov/case-studies/resilient-houston-0
"Adopt practices that comply with the National Flood Insurance Program floodplain management requirements, such as proper issuance of development permits in a floodplain. ","Flooding – Coastal,Flooding – General",Multiple or All Assets,"""Policy, Codes, & Standards""",Building Codes,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
"Adopt regulations and launch programs to address the home ignition zone — areas on or near homes where embers can land and easily ignite. Examples of actions that reduce the spread of fire in home ignition zones include removing dead leafs from roofs and gutters, replacing or repairing loose or missing shingles and removing anything stored underneath decks and porches. ",Wildfire,Property,"""Policy, Codes, & Standards""",Building Codes,"Missoula, MT Regional Adaptation Strategy",https://www.climatereadymissoula.org/uploads/1/2/6/6/126687164/revisedclimatereadymissoula_2.22.20.pdf,https://toolkit.climate.gov/case-studies/missoula-mt-regional-adaptation-strategy-0
Adopt stream buffers on any perennial stream using widths that have been established or tested as best practice within the region.,Flooding – Rainfall-induced,Natural Areas and Wildlife,"""Policy, Codes, & Standards""",Building Codes,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
Adopt wildfire mitigation landscape standards to reduce the risk of wildfire spreading between properties.,Wildfire,"Urban Landscape and Tree Canopy,Property","""Policy, Codes, & Standards""",Building Codes,Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
Advocate for investing in cleaner and more accessible public transportation.,Air Quality,Transportation and Mobility,Partnerships & Collaboration,Partnerships,"Providence, RI Climate Justice Plan",https://www.providenceri.gov/wp-content/uploads/2019/10/Climate-Justice-Plan-Report-FINAL-English-1.pdf,https://toolkit.climate.gov/case-studies/providence-ri-climate-justice-plan-1
Advocate for more renewable energy sources at state level,Extreme Heat,Energy and Utilities,"""Policy, Codes, & Standards""",Policies,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
"Advocate for statewide oversight and coordination of regional adaptation initiatives. This coordination should include all aspects of disaster preparedness and recovery across state agencies, specifically flood risk mitigation and adaptation activities between disaster events. ","Multiple or All Hazards,Flooding – General","Multiple or All Assets,People",Partnerships & Collaboration,Partnerships,State of Louisiana Regional Adaptation Strategy,https://s3.amazonaws.com/lasafe/Final+Adaptation+Strategies/Regional+Adaptation+Strategy.pdf,https://toolkit.climate.gov/case-studies/state-louisiana-regional-adaptation-strategy-0
"After completing a plan, revisit and revise the goals and strategies every 2 years based on implementation results and new information. ","Multiple or All Hazards,Water Quality","Water Infrastructure – General,Multiple or All Assets",Planning & Management,Planning,Detroit Climate Action Plan,https://detroitenvironmentaljustice.org/wp-content/uploads/2017/10/CAP_WEB.pdf,https://toolkit.climate.gov/case-studies/detroit-climate-action-plan-1
Aggressively participate in FEMA funding programs to protect private Property.,Flooding – Rainfall-induced,Property,Funding & Finance,Funding,"Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
Align flood mitigation and open space investments. ,"Flooding – Coastal,Flooding – General","Urban Landscape and Tree Canopy,Water Infrastructure – Wastewater,Natural Areas and Wildlife",,,Resilient Houston,https://www.houstontx.gov/mayor/Resilient-Houston-20200402-single-page.pdf,https://toolkit.climate.gov/case-studies/resilient-houston-0
Amend existing design standards to encourage multi-functional capital improvements for flood protection and management.,Flooding – General,Property,,,Resilient Houston,https://www.houstontx.gov/mayor/Resilient-Houston-20200402-single-page.pdf,https://toolkit.climate.gov/case-studies/resilient-houston-0
"Analyze and update building codes and ordinances to make buildings safer from wind and flooding, more energy and water efficient, more tolerant of heat waves and healthier to live in.",Multiple or All Hazards,Multiple or All Assets,"""Policy, Codes, & Standards""",Building Codes,"Cumberland County, NC: Climate Resiliency Plan",,
"Analyze current, historical and projected conditions to identify and prioritize where to resist, accept or facilitate site or ecosystem change, considering cultural values. ","""Shifting Species, Habitats, and Ecosystems""","Aquatic and Marine Resources,Natural Areas and Wildlife",Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","Missoula, MT Regional Adaptation Strategy",https://www.climatereadymissoula.org/uploads/1/2/6/6/126687164/revisedclimatereadymissoula_2.22.20.pdf,https://toolkit.climate.gov/case-studies/missoula-mt-regional-adaptation-strategy-0
Annually align City operational priorities to reflect the current assessment of Flooding and SLR impacts.,Multiple or All Hazards,Multiple or All Assets,Capacity Building,Operations,"Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
Annually align local government operational priorities to reflect the current assessment of flooding and sea level rise impacts.,"Flooding – Coastal,Flooding – General",Multiple or All Assets,Capacity Building,Operations,"Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
"As extreme heat becomes more common, encourage farmers and ranchers to plant drought tolerant and native trees for livestock.","Drought,Extreme Heat",Agriculture and Food Supply,Public Education & Outreach,Education,Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
"As hot temperature days becomes more common, encourage farmers and ranchers to construct shade structures with water troughs for livestock.",Extreme Heat,Agriculture and Food Supply,,,Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
"As part of a public information and engagement process, establish a buddy system for neighbors to support each other during floods. Local cultural institutions might serve as good partners.",Flooding – General,People,Public Education & Outreach,Community Engagement,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
"As seasons change length arrival dates, study and better understand the natural, economic and societal impacts of climate change on food security as well as the potential benefits of warmer temperatures.",Changing Seasons,Agriculture and Food Supply,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",Juneau's Changing Climate and Community Response,https://acrc.alaska.edu/docs/juneau-climate-report,https://toolkit.climate.gov/case-studies/juneaus-changing-climate-and-community-response-1
Ask residents to help keep storm drains clear of debris. ,Flooding – General,Water Infrastructure – Stormwater,Public Education & Outreach,Community Engagement,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
Assess and prioritize natural public areas for additional water storage capacity. This action could also support natural habitat resilience.,Drought,"Water Infrastructure – Drinking Water,Aquatic and Marine Resources,Natural Areas and Wildlife",Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
Assess culvert structures for structural integrity on flood-prone streets in neighborhoods that could become isolated if a culvert were to fail. ,"Flooding – General,Flooding – Rainfall-induced",Transportation and Mobility,Capacity Building,"""Monitoring, Inspection and Maintenance""","Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
"Assess governmental assets' exposure to erosion, extreme heat, flooding, high winds, landslides, severe winter weather and wildfire. Determine if those assets house critical functions. If they do, determine next steps.","High Winds,Landslides,Severe Winter Weather,Wildfire,Erosion and Shoreline Recession,Extreme Heat,Flooding – Coastal,Flooding – General,Flooding – Rainfall-induced","Critical Facilities,Multiple or All Assets",Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
Assess how climate change may influence in- or out-migration to the community or the region. Develop short- and long-term strategies for shelter and housing and services.,Multiple or All Hazards,People,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
"Assess impact of climate change on community resources by developing an inventory of the location and condition of existing infrastructure such as sidewalks, bike lanes and transit facilities. Include services that support alternative modes of travel and serve areas of low income. Also include affordable housing, public services and employment centers. ",Multiple or All Hazards,Transportation and Mobility,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",Puget Sound Regional Council Climate Change and Resilience Guidance,https://www.psrc.org/media/6869,https://toolkit.climate.gov/case-studies/puget-sound-regional-council-climate-change-and-resilience-guidance-1
"Assess local air quality; where needed, pursue strategies to protect vulnerable populations from pollution.",Air Quality,People,"""Health, Wellness, & Security""",Public Health,Climate Action Plan for the Chicago Region,https://mayorscaucus.org/wp-content/uploads/2021/06/RegionalCAP_primary_and_appendices_062321-02.pdf,https://toolkit.climate.gov/case-studies/climate-action-plan-chicago-region-1
Assess options for secondary access in landslide-prone areas.,Landslides,Transportation and Mobility,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
"Assess options to support active conservation of species (e.g., nurseries, seed banks), habitat restoration and regeneration or relocation of near-endangered species.","""Shifting Species, Habitats, and Ecosystems""","Urban Landscape and Tree Canopy,Aquatic and Marine Resources,Natural Areas and Wildlife",Planning & Management,Planning,"City of San Antonio, TX: A Path for Climate Action & Adaptation",https://www.sanantonio.gov/Portals/0/Files/Sustainability/SAClimateReady/SACRReportOctober2019.pdf,https://toolkit.climate.gov/case-studies/city-san-antonio-tx-path-climate-action-adaptation-1
Assess the need for passive and active cooling and resilience retrofits in government facilities. Consider the impacts of increasing heat events and higher nighttime temperatures on operations and maintenance budgets.,Extreme Heat,"Critical Facilities,Property",Capital Improvements - Green & Gray Infrastructure,Adaptive Capacity of Buildings,"City of Seattle, WA: Preparing for a Changing Climate",https://www.seattle.gov/Documents/Departments/Environment/ClimateChange/SEAClimatePreparedness_August2017.pdf,https://toolkit.climate.gov/case-studies/city-seattle-wa-preparing-changing-climate-1
"Assess the potential impacts of landslides on emergency response using detailed data and research for roads, parcels and access points. Include an assessment of options for secondary access in landslide-prone areas.",Landslides,Transportation and Mobility,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
Assess the vulnerability of forested areas to fire and develop a strategy to address that vulnerability.,Wildfire,"Agriculture and Food Supply,Aquatic and Marine Resources,Natural Areas and Wildlife",Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","City of Seattle, WA: Preparing for a Changing Climate",https://www.seattle.gov/Documents/Departments/Environment/ClimateChange/SEAClimatePreparedness_August2017.pdf,https://toolkit.climate.gov/case-studies/city-seattle-wa-preparing-changing-climate-1
Assist lower- and moderate-income homeowners with retrofitting projects by developing funding programs or facilitating access to funding resources.,Flooding – Rainfall-induced,People,Funding & Finance,Funding,Cleveland Climate Action Plan,https://d3n8a8pro7vhmx.cloudfront.net/sustainablecleveland/pages/149/attachments/original/1461798511/Cleveland_Climate_Action_Plan.pdf?1461798511,https://toolkit.climate.gov/case-studies/cleveland-climate-action-plan-1
Assure affordable access to safe drinking water for all.,Water Quality,Water Infrastructure – Drinking Water,Capacity Building,"""Community Resources, Transformative Strategies, Resilience Hubs""",Climate Action Plan for the Chicago Region,https://mayorscaucus.org/wp-content/uploads/2021/06/RegionalCAP_primary_and_appendices_062321-02.pdf,https://toolkit.climate.gov/case-studies/climate-action-plan-chicago-region-1
Begin to track some of the basic health statistics of Lawrence County via County Health Rankings. {Goal: Increase the Overall Health of Spearfish Community},Vector-Borne Disease,People,Capacity Building,"""Monitoring, Inspection and Maintenance""","Spearfish, SD Climate Resiliency Plan",https://www.bhsu.edu/Faculty-Staff/Campus-Services/Facilities-Services/Sustainability/_docs/climate-resiliency-plan-2020.pdf,https://toolkit.climate.gov/case-studies/spearfish-sd-climate-resiliency-plan-0
"Benchmark, disclose, and reduce energy use in city-owned buildings. ",Air Quality,Energy and Utilities,Capacity Building,"""Community Resources, Transformative Strategies, Resilience Hubs""","Spearfish, SD Climate Resiliency Plan",https://www.bhsu.edu/Faculty-Staff/Campus-Services/Facilities-Services/Sustainability/_docs/climate-resiliency-plan-2020.pdf,https://toolkit.climate.gov/case-studies/spearfish-sd-climate-resiliency-plan-0
"Beyond strengthening existing systems, increase system redundancy to protect critical infrastructure from power outages.","High Winds,Landslides,Multiple or All Hazards,Severe Winter Weather,Wildfire,Extreme Heat,Flooding – Coastal,Flooding – General","Critical Facilities,Energy and Utilities,Multiple or All Assets",Capacity Building,"""Community Resources, Transformative Strategies, Resilience Hubs""",City of Baltimore Disaster Preparedness and Planning Project,https://www.baltimoresustainability.org/wp-content/uploads/2019/10/2018-DP3-For-Print.pdf,https://toolkit.climate.gov/case-studies/city-baltimore-disaster-preparedness-and-planning-project-1
Bridge supports are weakened by the erosion of the underlying streambed. Strengthening these supports will prevent further damage to bridges and increase bridge resiliency during floods and storms.,"Erosion and Shoreline Recession,Flooding – Coastal,Flooding – General",Transportation and Mobility,Capital Improvements - Green & Gray Infrastructure,Enhance Bridges & structures,City of Baltimore Disaster Preparedness and Planning Project,https://www.baltimoresustainability.org/wp-content/uploads/2019/10/2018-DP3-For-Print.pdf,https://toolkit.climate.gov/case-studies/city-baltimore-disaster-preparedness-and-planning-project-1
"Build adaptive capacity into any new asset put into the RAD and Biltmore Village, and other vulnerable commercial areas",Flooding – Rainfall-induced,Property,Capital Improvements - Green & Gray Infrastructure,Adaptive Capacity of Buildings,"Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
"Build electricity grid resilience by increasing system capacity, increasing tension in lines to reduce sag and adding external coolers to transformers. Lines and transformers may overheat and trip off during extreme heat.",Extreme Heat,Energy and Utilities,Capital Improvements - Green & Gray Infrastructure,"""Armoring, harden, retrofits and revetments""","AR5 Climate Change: Impacts, Adaptation, and Vulnerability",https://www.ipcc.ch/report/ar5/wg2/,https://toolkit.climate.gov/case-studies/ar5-climate-change-impacts-adaptation-and-vulnerability-0
Build levees or earthen dikes around flood-threatened critical public facilities. ,Flooding – General,Critical Facilities,Capital Improvements - Green & Gray Infrastructure,"""Flood barriers, dams, and levees""",HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
Build or expand additional hardscaped water storage reservoirs.,Drought,Water Infrastructure – Drinking Water,Capital Improvements - Green & Gray Infrastructure,Water Infrastructure,"Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
"Build partnerships with local nonprofits to increase opportunities for implementing green infrastructure. Green infrastructure helps manage stormwater on site, can improve water quality, can help protect coastal areas and offers cooling benefits when it is hot outside.","Water Quality,Extreme Heat,Flooding – Coastal,Flooding – General,Flooding – Rainfall-induced","Urban Landscape and Tree Canopy,Property,Water Infrastructure – Stormwater",Partnerships & Collaboration,Partnerships,"Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
"Build private public partnerships that add, improve and connect more trails to parks.",Flooding – General,Transportation and Mobility,Partnerships & Collaboration,Partnerships,"Columbus, OH Climate Action Plan",https://byrd.osu.edu/sites/byrd.osu.edu/files/CCCAP%20-%20FINAL_0.pdf,https://toolkit.climate.gov/case-studies/columbus-oh-climate-action-plan-0
"Build public awareness of the climate-related risks and the opportunities for early, coordinated action to address these risks.",Multiple or All Hazards,People,Public Education & Outreach,Community Engagement,Southeast Florida Compact Regional Climate Action Plan - Energy and Fuel,http://www.southeastfloridaclimatecompact.org/recommendation-category/ef/,https://toolkit.climate.gov/case-studies/southeast-florida-compact-regional-climate-action-plan-energy-and-fuel-0
Build retaining walls to protect against mass wasting — the movement of rock and soil down a slope — from mudslides.,Landslides,"Multiple or All Assets,Property",Capital Improvements - Green & Gray Infrastructure,"""Armoring, harden, retrofits and revetments""",Juneau's Changing Climate and Community Response,https://acrc.alaska.edu/docs/juneau-climate-report,https://toolkit.climate.gov/case-studies/juneaus-changing-climate-and-community-response-1
Buildings can be built today with high ceilings on the ground floor so that the floor can be filled in as sea levels rise over time.,Flooding – Coastal,"Multiple or All Assets,Property",Capital Improvements - Green & Gray Infrastructure,Adaptive Capacity of Buildings,Climate Ready Boston - Resilience Initiatives,https://www.boston.gov/sites/default/files/imce-uploads/2017-01/crb_-_focus_area_ri.pdf,https://toolkit.climate.gov/case-studies/climate-ready-boston-resilience-initiatives-1
"Bury distribution lines to make them more resilient during hurricanes, severe winter weather and wildfires.","High Winds,Severe Winter Weather,Wildfire",Energy and Utilities,Capital Improvements - Green & Gray Infrastructure,"""Armoring, harden, retrofits and revetments""","Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
"Capture the culture and history of high flood risk areas. For example, preserve and transfer the cultures and practices of migrating communities. Another example would be to document and honor culturally and historically important locations in areas subject to high flood risk.",Flooding – General,People,"""Managed Retreat, Relocation, & Buyout""",Relocation,State of Louisiana Regional Adaptation Strategy,https://s3.amazonaws.com/lasafe/Final+Adaptation+Strategies/Regional+Adaptation+Strategy.pdf,https://toolkit.climate.gov/case-studies/state-louisiana-regional-adaptation-strategy-0
"Climate control retrofits (fans, A/C) for sensitive populations",Extreme Heat,People,Capital Improvements - Green & Gray Infrastructure,"""Armoring, harden, retrofits and revetments""","Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
Collaborate on a watershed basis.,Multiple or All Hazards,Multiple or All Assets,Partnerships & Collaboration,Partnerships,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
Collaborate to sustainably manage the regional water supply.,"Water Quality,Drought","Water Infrastructure – Drinking Water,Water Infrastructure – General",Partnerships & Collaboration,Partnerships,Climate Action Plan for the Chicago Region,https://mayorscaucus.org/wp-content/uploads/2021/06/RegionalCAP_primary_and_appendices_062321-02.pdf,https://toolkit.climate.gov/case-studies/climate-action-plan-chicago-region-1
Collaborate with and learn Dutch Dialogues and other methods of managing and living with water.,Flooding – General,Multiple or All Assets,Partnerships & Collaboration,Partnerships,"Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
Collaborate with community-based organizations to develop or expand urban greening and urban agriculture programs. Greenery and urban gardens can help manage stormwater and offer cooling benefits during hot weather.,"Extreme Heat,Flooding – General","Agriculture and Food Supply,Urban Landscape and Tree Canopy",Partnerships & Collaboration,Partnerships,Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
